,Rank_Scoring_Offense,Team,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Season,Week,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
10,11,Oklahoma,44.3,38.0,28.0,46.7,37.0,45.1,2018,5,13,502.3,453.0,355.0,496.7,519.0,579.6,33,20.8,23.0,21.0,18.7,27.0,27.1,63,383.3,403.0,379.0,362.0,447.0,394.9,23,0.8,1.0,1.0,0.7,1.0,0.9,87,1.0,1.0,2.0,1.0,1.0,1.3,8,21.5,1,61,4,25,--,8,45,19,37,0.9,7,70,23
11,12,Memphis,44.0,44.0,52.0,55.5,21.0,45.7,2018,5,7,540.0,540.0,563.0,621.0,378.0,537.8,60,26.3,26.3,35.0,28.5,22.0,32.6,47,365.0,365.0,467.0,389.5,316.0,472.3,74,1.7,1.7,0.0,0.5,4.0,1.3,64,1.3,1.3,2.0,1.5,1.0,2.5,45,5.9,20,84,36,63,--,34,111,47,110,-11.0,38,118,82
12,13,Texas Tech,43.7,43.7,41.0,63.0,34.0,32.5,2018,5,1,600.3,600.3,621.0,704.0,548.5,462.0,106,37.7,37.7,17.0,49.0,32.0,34.1,119,522.3,522.3,386.0,635.0,466.0,455.7,26,1.0,1.0,2.0,1.0,1.0,1.5,87,1.0,1.0,2.0,0.0,1.5,2.2,10,19.4,8,98,29,129,-16.4,50,129,129,19,5.2,11,50,46
13,14,Toledo,43.5,43.5,63.0,43.5,--,35.5,2018,5,62,397.0,397.0,460.0,397.0,--,479.9,126,46.5,46.5,44.0,46.5,--,27.2,122,527.5,527.5,582.0,527.5,--,401.2,26,1.0,1.0,1.0,1.0,--,1.3,87,1.0,1.0,2.0,1.0,--,1.5,46,5.4,8,104,47,58,--,25,118,58,67,-4.5,39,127,39
14,15,Michigan,41.8,50.0,56.0,50.0,17.0,25.2,2018,5,51,420.8,458.7,491.0,458.7,307.0,348.9,7,14.3,11.0,10.0,11.0,24.0,18.8,2,240.3,219.7,132.0,219.7,302.0,271.0,26,1.0,0.7,1.0,0.7,2.0,1.6,84,1.3,1.3,2.0,1.3,1.0,1.3,5,25.7,3,26,12,35,--,11,112,37,15,5.7,3,18,18
15,16,Hawaii,41.5,41.0,21.0,51.0,32.0,21.1,2018,5,15,496.5,456.3,362.0,503.5,489.5,398.1,86,33.0,32.7,28.0,35.0,31.0,35.4,112,493.8,440.7,465.0,428.5,559.0,456.6,7,0.5,0.3,0.0,0.5,0.5,1.1,108,0.8,0.7,0.0,1.0,0.5,1.1,80,-5.3,54,127,66,74,--,72,130,74,123,-14.3,70,129,96
16,16,App State,41.5,41.5,45.0,--,41.5,31.8,2018,5,39,442.5,442.5,434.0,--,442.5,424.9,62,27.0,27.0,9.0,--,27.0,21.3,20,318.5,318.5,203.0,--,318.5,361.8,68,1.5,1.5,2.0,--,1.5,1.0,87,1.0,1.0,2.0,--,1.0,2.2,6,22.7,6,103,11,22,--,4,71,21,14,6.1,6,84,6
17,18,Oregon,41.3,41.3,31.0,41.3,--,32.6,2018,5,18,490.3,490.3,524.0,490.3,--,419.1,68,28.0,28.0,38.0,28.0,--,29.7,48,367.3,367.3,398.0,367.3,--,369.5,110,2.3,2.3,2.0,2.3,--,1.9,41,1.7,1.7,0.0,1.7,--,1.9,59,2.1,21,61,54,60,--,22,74,59,84,-7.0,21,129,129
18,19,NC State,39.0,39.0,37.0,41.0,37.0,30.8,2018,5,10,522.5,522.5,502.0,543.0,502.0,449.0,4,13.5,13.5,20.0,7.0,20.0,26.0,29,336.5,336.5,324.0,349.0,324.0,388.8,26,1.0,1.0,1.0,1.0,1.0,1.1,23,2.0,2.0,3.0,1.0,3.0,1.5,55,2.8,15,105,78,30,--,30,122,60,111,-11.0,32,130,130
19,19,Colorado,39.0,39.0,33.0,--,39.0,25.1,2018,5,17,495.5,495.5,395.0,--,495.5,405.3,32,20.5,20.5,28.0,--,20.5,28.8,84,424.5,424.5,565.0,--,424.5,467.0,26,1.0,1.0,0.0,--,1.0,1.0,23,2.0,2.0,3.0,--,2.0,1.1,49,4.8,7,106,41,10,12.4,1,83,7,117,-11.9,48,117,91
20,21,Oklahoma St,38.7,38.7,17.0,38.7,--,45.0,2018,5,25,475.0,475.0,386.0,475.0,--,571.3,53,25.0,25.0,41.0,25.0,--,29.4,77,416.3,416.3,621.0,416.3,--,409.3,74,1.7,1.7,2.0,1.7,--,1.6,64,1.3,1.3,2.0,1.3,--,1.8,26,13.2,7,68,7,56,--,9,67,49,26,2.8,21,118,25
21,22,Clemson,38.3,38.3,49.0,38.0,38.5,31.2,2018,5,16,496.0,496.0,480.0,595.0,446.5,412.7,22,18.0,18.0,21.0,7.0,23.5,14.4,8,281.3,281.3,203.0,140.0,352.0,281.4,74,1.7,1.7,2.0,3.0,1.0,1.2,64,1.3,1.3,1.0,1.0,1.5,1.4,7,22.2,1,39,15,18,--,1,48,20,8,7.5,2,69,10
22,23,Buffalo,37.7,37.7,42.0,35.0,39.0,28.1,2018,5,32,453.7,453.7,445.0,489.0,436.0,427.0,43,23.3,23.3,13.0,28.0,21.0,26.2,55,376.3,376.3,284.0,490.0,319.5,414.7,52,1.3,1.3,2.0,1.0,1.5,1.2,64,1.3,1.3,0.0,1.0,1.5,1.3,47,5.4,40,95,61,34,--,34,121,42,93,-8.3,83,123,99
23,24,W Virginia,37.5,37.5,35.0,35.0,40.0,32.5,2018,5,12,505.5,505.5,464.0,464.0,547.0,453.0,1,10.0,10.0,6.0,6.0,14.0,32.8,16,309.5,309.5,318.0,318.0,301.0,457.6,116,2.5,2.5,4.0,4.0,1.0,1.9,117,0.5,0.5,1.0,1.0,0.0,1.3,18,15.8,5,34,25,6,20.6,3,37,5,94,-8.5,14,94,80
24,25,Florida,37.0,37.0,47.0,32.0,47.0,22.1,2018,5,86,362.7,362.7,387.0,350.5,387.0,335.9,27,19.3,19.3,21.0,18.5,21.0,27.3,58,378.7,378.7,369.0,383.5,369.0,349.3,52,1.3,1.3,1.0,1.5,1.0,1.8,2,3.7,3.7,6.0,2.5,6.0,1.5,32,11.9,6,62,43,20,--,11,62,56,57,-3.2,6,91,78
25,26,Missouri,36.3,36.3,29.0,34.5,40.0,34.7,2018,5,9,534.0,534.0,393.0,497.0,608.0,477.2,79,31.0,31.0,43.0,28.0,37.0,30.9,90,435.7,435.7,445.0,346.5,614.0,408.0,74,1.7,1.7,3.0,2.0,1.0,1.9,87,1.0,1.0,1.0,1.0,1.0,1.3,36,8.5,4,54,42,41,--,21,57,43,27,2.7,3,108,76
26,26,Boston Col,36.3,36.3,13.0,55.0,27.0,25.7,2018,5,34,450.7,450.7,229.0,599.0,376.5,386.7,70,28.3,28.3,30.0,21.0,32.0,22.8,69,399.7,399.7,372.0,315.0,442.0,382.8,74,1.7,1.7,4.0,0.0,2.5,1.5,17,2.3,2.3,2.0,3.0,2.0,1.9,41,6.9,9,50,24,64,--,22,64,28,54,-2.8,29,106,58
27,28,Wash State,36.0,36.0,36.0,31.0,38.5,30.3,2018,5,31,457.7,457.7,435.0,544.0,414.5,427.9,27,19.3,19.3,39.0,0.0,29.0,27.9,1,223.0,223.0,354.0,109.0,280.0,338.7,74,1.7,1.7,0.0,3.0,1.0,2.5,110,0.7,0.7,0.0,1.0,0.5,2.3,38,8.0,11,64,39,39,--,10,70,27,74,-5.5,49,119,119
28,29,S Carolina,34.3,34.3,37.0,33.0,37.0,23.7,2018,5,24,477.0,477.0,534.0,448.5,534.0,333.7,43,23.3,23.3,14.0,28.0,14.0,21.6,27,333.3,333.3,284.0,358.0,284.0,378.8,74,1.7,1.7,3.0,1.0,3.0,1.4,64,1.3,1.3,2.0,1.0,2.0,2.1,17,16.3,17,51,34,15,--,15,122,53,5,8.4,4,92,11
29,30,Florida Intl,34.0,36.0,17.0,45.5,22.5,26.3,2018,5,75,384.8,404.0,187.0,431.5,338.0,386.3,69,28.3,25.0,31.0,31.0,25.5,30.0,94,443.0,435.7,488.0,444.0,442.0,427.8,93,1.8,1.3,1.0,2.5,1.0,1.7,53,1.5,1.7,2.0,2.0,1.0,1.5,53,3.3,48,128,60,53,--,29,113,89,62,-4.0,52,121,106
30,31,Maryland,33.8,33.7,42.0,28.0,39.5,20.5,2018,5,60,399.8,397.3,432.0,313.5,486.0,304.2,42,22.8,20.7,13.0,24.0,21.5,38.9,18,313.8,283.3,263.0,346.0,281.5,429.5,23,0.8,1.0,0.0,1.0,0.5,1.3,23,2.0,1.7,3.0,2.0,2.0,1.3,39,7.7,28,66,62,7,16.9,7,76,8,49,-1.5,25,74,61
31,32,Texas A&M,32.3,32.3,23.0,37.0,23.0,33.4,2018,5,26,474.7,474.7,393.0,515.5,393.0,408.0,63,27.7,27.7,45.0,19.0,45.0,32.1,80,421.7,421.7,524.0,370.5,524.0,414.5,52,1.3,1.3,2.0,1.0,2.0,1.6,121,0.3,0.3,0.0,0.5,0.0,1.7,11,18.7,2,35,14,26,--,5,119,50,1,12.2,1,114,22
32,32,Miami (FL),32.3,32.3,31.0,31.0,33.0,28.1,2018,5,41,434.3,434.3,488.0,488.0,407.5,391.2,51,24.7,24.7,17.0,17.0,28.5,21.7,5,272.3,272.3,187.0,187.0,315.0,365.3,52,1.3,1.3,2.0,2.0,1.0,1.5,110,0.7,0.7,1.0,1.0,0.5,2.4,16,16.8,9,72,10,124,-1.3,12,126,123,21,4.1,11,46,12
33,34,Wisconsin,32.0,31.3,28.0,33.3,28.0,33.8,2018,5,28,467.0,459.0,415.0,484.3,415.0,415.3,9,14.5,18.3,17.0,13.7,17.0,13.9,13,307.8,308.7,404.0,275.7,404.0,262.1,26,1.0,1.0,0.0,1.3,0.0,1.7,23,2.0,2.0,3.0,1.7,3.0,2.1,28,12.9,5,72,35,21,--,1,54,54,38,0.7,4,98,69
34,35,Duke,31.7,31.7,40.0,34.0,30.5,23.8,2018,5,89,360.3,360.3,399.0,381.0,350.0,373.2,14,16.0,16.0,27.0,14.0,17.0,21.3,62,382.0,382.0,400.0,365.0,390.5,347.2,3,0.3,0.3,0.0,1.0,0.0,1.6,23,2.0,2.0,2.0,2.0,2.0,1.5,15,16.9,4,90,17,24,--,4,44,24,34,1.3,23,84,24
35,35,Temple,31.7,31.7,31.0,30.0,35.0,25.8,2018,5,88,361.3,361.3,300.0,327.5,429.0,391.1,39,22.3,22.3,17.0,26.5,14.0,26.8,32,341.7,341.7,403.0,415.0,195.0,380.1,97,2.0,2.0,2.0,2.5,1.0,1.8,6,2.7,2.7,5.0,3.0,2.0,1.4,68,-1.2,23,124,83,16,--,15,124,16,76,-5.9,53,105,81
36,37,Notre Dame,31.5,34.0,56.0,23.3,56.0,34.2,2018,5,55,416.5,454.7,566.0,366.7,566.0,448.4,26,19.3,20.0,27.0,16.7,27.0,21.5,50,368.5,389.0,398.0,358.7,398.0,369.2,47,1.3,1.3,1.0,1.3,1.0,1.3,23,2.0,2.0,1.0,2.3,1.0,1.5,29,12.9,5,45,44,14,--,3,58,57,20,5.0,9,34,21
37,38,Miss State,31.3,31.3,7.0,56.0,19.0,30.6,2018,5,37,448.7,448.7,201.0,607.0,369.5,407.3,14,16.0,16.0,28.0,10.0,19.0,22.7,6,274.3,274.3,300.0,310.0,256.5,329.1,26,1.0,1.0,1.0,1.0,1.0,1.8,87,1.0,1.0,1.0,1.0,1.0,1.8,21,15.1,3,47,6,45,--,14,55,15,31,1.7,3,80,57
38,38,S Florida,31.3,31.3,20.0,34.5,25.0,38.9,2018,5,36,449.3,449.3,296.0,361.0,626.0,528.8,43,23.3,23.3,13.0,25.5,19.0,24.1,102,464.7,464.7,412.0,507.0,380.0,371.6,52,1.3,1.3,1.0,1.0,2.0,1.2,41,1.7,1.7,1.0,2.0,1.0,2.0,76,-3.7,59,110,64,125,-4.8,61,125,124,116,-11.8,57,123,93
39,40,Texas,31.3,32.0,31.0,32.0,29.0,29.5,2018,5,57,411.0,413.0,367.0,413.0,405.0,398.8,35,21.3,17.0,16.0,17.0,34.0,21.2,44,362.3,347.3,372.0,347.3,407.0,366.6,47,1.3,0.7,0.0,0.7,3.0,1.4,39,1.8,2.3,4.0,2.3,0.0,2.0,34,11.3,13,75,49,122,-0.9,9,126,126,24,2.9,12,47,45
40,41,UNLV,31.0,31.0,20.0,52.0,20.5,27.8,2018,5,48,423.7,423.7,333.0,533.0,369.0,414.6,80,31.3,31.3,27.0,24.0,35.0,30.7,86,428.3,428.3,396.0,388.0,448.5,459.5,74,1.7,1.7,4.0,0.0,2.5,1.1,64,1.3,1.3,1.0,3.0,0.5,1.6,84,-7.0,84,128,86,86,--,81,107,92,104,-10.2,13,123,114
41,41,Navy,31.0,31.0,30.0,22.0,35.5,30.5,2018,5,81,367.0,367.0,374.0,316.0,392.5,428.7,101,37.0,37.0,31.0,21.0,45.0,26.3,73,409.3,409.3,324.0,378.0,425.0,370.3,52,1.3,1.3,3.0,1.0,1.5,1.5,23,2.0,2.0,1.0,4.0,1.0,1.2,86,-7.7,52,120,87,99,--,46,124,111,85,-7.2,43,96,74
42,41,Kansas,31.0,31.0,7.0,55.0,19.0,16.9,2018,5,71,392.0,392.0,271.0,544.0,316.0,319.2,11,15.7,15.7,26.0,14.0,16.5,45.9,28,333.7,333.7,447.0,274.0,363.5,487.9,1,0.0,0.0,0.0,0.0,0.0,2.1,1,4.0,4.0,0.0,6.0,3.0,0.7,69,-1.7,51,126,51,55,--,23,100,26,106,-10.5,53,120,118
43,41,LSU,31.0,31.0,38.0,38.0,27.5,25.8,2018,5,90,358.3,358.3,409.0,409.0,333.0,407.5,31,19.7,19.7,21.0,21.0,19.0,19.7,45,362.3,362.3,417.0,417.0,335.0,322.8,3,0.3,0.3,1.0,1.0,0.0,0.7,23,2.0,2.0,2.0,2.0,2.0,1.3,14,17.8,5,65,9,3,32.7,1,65,2,2,9.1,1,28,2
44,45,Coastal Car,30.7,30.7,30.0,47.0,22.5,24.9,2018,5,59,401.0,401.0,497.0,463.0,370.0,348.8,89,33.7,33.7,28.0,24.0,38.5,32.4,99,459.0,459.0,381.0,435.0,471.0,401.7,14,0.7,0.7,1.0,0.0,1.0,1.3,121,0.3,0.3,0.0,1.0,0.0,1.0,75,-3.7,70,121,70,85,--,76,120,84,112,-11.2,17,120,100
45,45,Mississippi,30.7,30.7,38.0,22.5,47.0,31.7,2018,5,22,481.7,481.7,651.0,449.5,546.0,455.2,96,35.3,35.3,17.0,39.5,27.0,35.6,101,460.7,460.7,390.0,453.0,476.0,470.9,74,1.7,1.7,1.0,2.0,1.0,1.5,64,1.3,1.3,2.0,2.0,0.0,1.1,52,3.7,15,85,53,2,33.3,1,59,3,29,2.0,20,53,20
46,47,Ohio,30.5,30.5,30.0,--,30.5,37.4,2018,5,74,388.0,388.0,412.0,--,388.0,435.9,111,39.5,39.5,34.0,--,39.5,26.3,108,488.0,488.0,424.0,--,488.0,393.7,97,2.0,2.0,2.0,--,2.0,1.7,23,2.0,2.0,1.0,--,2.0,1.3,107,-12.9,8,125,121,127,-12.1,27,128,128,75,-5.7,63,128,110
47,48,Nevada,30.3,30.3,44.0,37.0,27.0,28.2,2018,5,64,396.3,396.3,582.0,357.0,416.0,395.3,125,46.3,46.3,63.0,35.0,52.0,34.3,109,489.3,489.3,460.0,540.0,464.0,479.5,110,2.3,2.3,2.0,1.0,3.0,1.6,23,2.0,2.0,1.0,3.0,1.5,1.7,98,-10.4,6,107,85,105,--,12,114,107,98,-8.9,72,126,102
48,49,Baylor,30.0,30.0,26.0,26.5,37.0,22.5,2018,5,38,447.0,447.0,447.0,423.5,494.0,393.4,39,22.3,22.3,7.0,23.5,20.0,34.8,15,308.3,308.3,271.0,335.0,255.0,445.3,26,1.0,1.0,0.0,1.0,1.0,2.1,121,0.3,0.3,0.0,0.0,1.0,1.0,63,1.0,45,80,73,62,--,8,86,48,79,-6.4,44,119,72
49,49,S Mississippi,30.0,30.0,40.0,30.0,--,27.8,2018,5,14,501.0,501.0,566.0,501.0,--,420.3,36,21.5,21.5,22.0,21.5,--,26.5,14,308.0,308.0,262.0,308.0,--,347.9,116,2.5,2.5,1.0,2.5,--,1.4,23,2.0,2.0,2.0,2.0,--,1.3,81,-5.5,46,112,80,61,--,46,112,61,130,-23.4,103,130,128
50,49,Kentucky,30.0,30.0,28.0,31.5,27.0,25.4,2018,5,67,393.7,393.7,300.0,363.5,454.0,342.7,8,14.3,14.3,7.0,13.5,16.0,29.3,4,272.0,272.0,201.0,228.0,360.0,436.0,110,2.3,2.3,1.0,2.5,2.0,1.3,87,1.0,1.0,1.0,0.5,2.0,1.3,20,15.6,8,63,38,19,--,18,63,18,22,3.5,8,81,55
51,52,VA Tech,29.5,29.5,35.0,--,29.5,28.3,2018,5,30,459.5,459.5,600.0,--,459.5,422.0,57,26.0,26.0,49.0,--,26.0,16.0,107,479.5,479.5,632.0,--,479.5,327.8,7,0.5,0.5,1.0,--,0.5,1.1,11,2.5,2.5,0.0,--,2.5,1.4,54,3.1,4,99,13,65,--,10,68,14,77,-5.9,19,77,44
52,52,Air Force,29.5,29.5,32.0,--,29.5,28.6,2018,5,49,422.0,422.0,471.0,--,422.0,395.4,105,37.5,37.5,42.0,--,37.5,35.4,116,507.0,507.0,489.0,--,507.0,421.1,26,1.0,1.0,1.0,--,1.0,1.8,53,1.5,1.5,2.0,--,1.5,0.8,65,-0.6,53,87,68,69,--,56,87,78,55,-2.8,55,119,95
53,54,Virginia,29.3,29.3,27.0,27.0,30.5,22.1,2018,5,56,415.7,415.7,401.0,401.0,423.0,341.3,22,18.0,18.0,3.0,3.0,25.5,29.9,21,321.7,321.7,214.0,214.0,375.5,375.5,74,1.7,1.7,1.0,1.0,2.0,1.6,23,2.0,2.0,3.0,3.0,1.5,1.4,44,6.1,27,80,55,11,7.5,8,85,11,72,-5.4,43,121,73
54,55,Indiana,29.3,26.3,21.0,26.3,38.0,26.8,2018,5,58,402.5,381.7,301.0,381.7,465.0,388.3,38,22.3,20.3,35.0,20.3,28.0,27.6,25,329.5,330.3,350.0,330.3,327.0,358.8,47,1.3,1.3,2.0,1.3,1.0,1.5,19,2.3,2.0,4.0,2.0,3.0,1.2,48,4.9,48,85,48,42,--,39,105,41,45,-0.7,34,81,77
55,56,S Alabama,28.8,29.7,35.0,33.5,24.0,17.5,2018,5,102,342.8,354.3,467.0,345.0,340.5,327.2,118,42.0,46.0,52.0,30.5,53.5,28.9,114,498.0,517.3,563.0,406.0,590.0,440.6,116,2.5,2.0,2.0,3.5,1.5,1.6,19,2.3,2.0,0.0,3.0,1.5,1.6,114,-15.4,100,128,115,101,--,84,119,105,88,-7.7,48,125,104
56,57,Michigan St,28.7,28.7,35.0,38.0,24.0,24.5,2018,5,69,393.0,393.0,350.0,452.0,363.5,383.6,41,22.7,22.7,21.0,31.0,18.5,20.0,40,356.3,356.3,301.0,344.0,362.5,297.2,110,2.3,2.3,4.0,2.0,2.5,1.5,41,1.7,1.7,2.0,2.0,1.5,1.8,24,13.6,15,51,31,31,--,13,55,39,7,7.7,5,69,8
57,57,TX Christian,28.7,28.7,16.0,--,28.7,31.3,2018,5,46,425.3,425.3,372.0,--,425.3,409.8,63,27.7,27.7,31.0,--,27.7,20.5,57,378.3,378.3,367.0,--,378.3,351.9,125,3.0,3.0,4.0,--,3.0,1.2,121,0.3,0.3,0.0,--,0.3,1.4,27,13.0,1,85,19,9,13.3,8,44,10,3,8.7,3,94,9
58,57,Stanford,28.7,28.7,38.0,24.0,38.0,32.4,2018,5,80,374.0,374.0,398.0,362.0,398.0,388.9,10,14.7,14.7,31.0,6.5,31.0,22.7,53,373.0,373.0,524.0,297.5,524.0,405.6,3,0.3,0.3,0.0,0.5,0.0,0.9,41,1.7,1.7,2.0,1.5,2.0,2.0,31,12.0,2,56,30,27,--,8,52,51,36,1.2,15,67,53
59,60,Purdue,28.3,28.7,30.0,28.3,--,25.2,2018,5,21,483.5,487.3,372.0,483.5,--,403.1,57,26.0,24.3,13.0,26.0,--,20.5,74,413.5,417.7,229.0,413.5,--,375.8,97,2.0,1.7,2.0,2.0,--,1.3,53,1.5,2.0,4.0,1.5,--,1.6,57,2.5,4,86,81,59,--,10,127,62,39,0.5,16,56,47
60,61,New Mexico,28.0,28.0,42.0,--,28.0,19.1,2018,5,125,268.0,268.0,325.0,--,268.0,348.6,95,35.0,35.0,25.0,--,35.0,33.5,104,468.0,468.0,368.0,--,468.0,409.0,116,2.5,2.5,2.0,--,2.5,2.5,3,3.5,3.5,5.0,--,3.5,0.9,82,-6.7,77,124,89,87,--,59,105,88,118,-12.6,84,124,109
61,61,Wake Forest,28.0,28.0,27.0,30.5,23.0,34.0,2018,5,19,486.0,486.0,398.0,455.0,548.0,464.2,109,38.0,38.0,56.0,48.5,17.0,30.1,117,508.7,508.7,566.0,545.0,436.0,474.8,97,2.0,2.0,1.0,1.5,3.0,1.0,87,1.0,1.0,1.0,1.0,1.0,1.7,79,-5.2,8,104,56,50,--,3,85,45,52,-2.0,45,77,49
