Team,Season,Week,Rank_Scoring_Offense,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
Notre Dame,2016,5,32,37.3,34.0,35.0,34.0,47.0,34.2,40,455.8,459.7,534.0,459.7,444.0,466.8,83,33.5,28.0,38.0,28.0,50.0,24.1,89,454.0,433.0,498.0,433.0,517.0,373.1,80,1.8,2.3,3.0,2.3,0.0,1.5,86,1.0,1.0,1.0,1.0,1.0,1.1,57,1.7,15,70,35,48,--,9,63,40,36,-0.4,9,58,21
Ohio,2016,5,33,36.7,36.7,19.0,54.0,28.0,26.9,30,481.3,481.3,318.0,630.0,407.0,409.8,96,35.0,35.0,28.0,56.0,24.5,26.3,53,394.0,394.0,404.0,546.0,318.0,382.4,22,1.0,1.0,0.0,2.0,0.5,1.3,18,2.3,2.3,1.0,3.0,2.0,1.7,86,-8.3,65,115,81,46,--,18,106,44,112,-13.2,83,125,83
Central Mich,2016,5,34,36.3,36.3,35.0,44.0,32.5,25.4,34,470.7,470.7,495.0,499.0,456.5,401.4,79,32.3,32.3,49.0,21.0,38.0,23.0,63,406.7,406.7,569.0,313.0,453.5,344.7,41,1.3,1.3,1.0,1.0,1.5,1.3,67,1.3,1.3,1.0,2.0,1.0,1.4,45,3.6,6,118,19,70,--,8,128,24,64,-5.1,33,126,48
N Carolina,2016,5,34,36.3,36.3,37.0,37.0,36.0,39.7,64,416.0,416.0,471.0,471.0,388.5,482.2,70,30.7,30.7,36.0,36.0,28.0,26.3,60,401.3,401.3,421.0,421.0,391.5,461.2,12,0.7,0.7,1.0,1.0,0.5,1.5,86,1.0,1.0,1.0,1.0,1.0,1.8,42,4.1,18,52,38,124,-4.3,10,124,124,48,-2.3,11,50,43
S Mississippi,2016,5,34,36.3,36.3,34.0,31.0,39.0,39.0,41,451.0,451.0,378.0,421.0,466.0,509.2,52,26.3,26.3,7.0,37.0,21.0,27.1,23,336.7,336.7,258.0,309.0,350.5,394.2,118,2.7,2.7,2.0,3.0,2.5,1.8,18,2.3,2.3,3.0,1.0,3.0,1.8,41,4.3,34,119,52,52,--,25,116,50,91,-9.2,51,113,87
Army,2016,5,37,36.3,39.0,20.0,31.0,38.0,20.9,42,450.0,485.3,444.0,414.0,462.0,330.0,16,16.0,17.0,23.0,14.0,16.7,28.3,6,268.5,274.3,265.0,289.0,261.7,377.2,9,0.5,0.7,2.0,0.0,0.7,1.7,28,2.0,1.7,1.0,2.0,2.0,0.9,34,5.8,4,103,13,37,--,4,128,19,102,-11.2,47,105,76
Maryland,2016,5,38,35.5,35.5,30.0,--,35.5,22.4,58,425.0,425.0,373.0,--,425.0,365.5,25,19.0,19.0,24.0,--,19.0,35.6,67,413.5,413.5,455.0,--,413.5,434.4,1,0.0,0.0,0.0,--,0.0,3.2,12,2.5,2.5,4.0,--,2.5,1.6,38,5.1,25,106,42,45,--,20,119,41,97,-10.3,53,119,102
Oklahoma,2016,5,39,35.3,35.3,24.0,41.5,23.0,43.5,31,479.0,479.0,404.0,522.0,393.0,530.2,76,31.7,31.7,45.0,31.0,33.0,22.0,59,401.0,401.0,443.0,396.5,410.0,364.8,68,1.7,1.7,2.0,1.5,2.0,1.4,108,0.7,0.7,0.0,0.5,1.0,2.1,26,12.1,2,59,21,10,8.8,3,41,9,1,14.7,1,18,1
Texas A&M,2016,5,40,35.0,35.0,45.0,31.0,37.0,26.7,17,503.7,503.7,591.0,442.0,534.5,411.5,33,21.3,21.3,24.0,24.0,20.0,22.4,87,452.7,452.7,491.0,468.0,445.0,386.5,41,1.3,1.3,2.0,2.0,1.0,1.8,18,2.3,2.3,3.0,3.0,2.0,1.4,7,23.9,6,63,6,3,26.6,3,49,18,12,6.1,2,30,12
W Michigan,2016,5,40,35.0,35.0,49.0,49.0,28.0,34.7,62,420.0,420.0,407.0,407.0,426.5,479.3,28,20.7,20.7,31.0,31.0,15.5,29.0,21,334.7,334.7,370.0,370.0,317.0,417.6,1,0.0,0.0,0.0,0.0,0.0,1.3,18,2.3,2.3,4.0,4.0,1.5,1.4,23,12.7,8,92,22,33,--,24,117,32,58,-3.9,35,87,60
Middle Tenn,2016,5,42,34.3,34.3,38.0,38.0,32.5,31.0,22,494.7,494.7,553.0,553.0,465.5,448.1,85,34.0,34.0,34.0,34.0,34.0,27.7,95,466.3,466.3,622.0,622.0,388.5,416.3,41,1.3,1.3,0.0,0.0,2.0,2.3,28,2.0,2.0,1.0,1.0,2.5,2.0,68,-1.6,16,126,61,89,--,34,127,83,94,-9.7,54,108,81
Iowa,2016,5,43,33.7,33.7,14.0,43.5,14.0,30.9,74,398.0,398.0,355.0,419.5,355.0,382.8,3,10.3,10.3,7.0,12.0,7.0,20.8,35,366.0,366.0,383.0,357.5,383.0,349.5,1,0.0,0.0,0.0,0.0,0.0,1.2,48,1.7,1.7,1.0,2.0,1.0,2.1,47,3.4,16,74,65,49,--,24,122,65,98,-10.3,21,125,125
LA Tech,2016,5,44,33.0,33.0,34.0,--,33.0,35.5,21,495.0,495.0,622.0,--,495.0,474.3,104,39.3,39.3,38.0,--,39.3,27.8,109,505.3,505.3,553.0,--,505.3,384.3,12,0.7,0.7,1.0,--,0.7,1.6,108,0.7,0.7,0.0,--,0.7,1.6,69,-1.7,24,97,69,67,--,20,94,49,41,-1.2,26,94,42
Missouri,2016,5,44,33.0,33.0,27.0,44.0,11.0,11.7,9,526.7,526.7,471.0,559.0,462.0,268.5,47,25.0,25.0,28.0,24.5,26.0,17.4,81,443.7,443.7,409.0,418.5,494.0,311.4,118,2.7,2.7,5.0,3.5,1.0,1.5,28,2.0,2.0,1.0,1.5,3.0,1.4,18,13.9,16,104,32,78,--,47,108,82,38,-0.8,14,61,27
Marshall,2016,5,44,33.0,33.0,28.0,33.0,--,30.2,83,383.5,383.5,207.0,383.5,--,392.3,127,62.0,62.0,59.0,62.0,--,18.7,126,607.0,607.0,690.0,607.0,--,374.9,121,3.0,3.0,2.0,3.0,--,1.8,28,2.0,2.0,3.0,2.0,--,2.3,88,-8.9,6,123,91,64,--,47,109,69,75,-6.4,42,123,121
Tennessee,2016,5,47,32.8,37.0,38.0,28.7,45.0,33.5,77,387.8,410.7,498.0,407.0,330.0,420.7,31,21.0,23.7,28.0,20.0,24.0,20.8,30,353.0,373.3,402.0,337.3,400.0,370.0,56,1.5,1.3,2.0,1.7,1.0,1.0,28,2.0,2.3,2.0,1.0,5.0,1.3,24,12.6,7,49,23,2,33.6,2,51,2,18,3.6,5,64,31
Florida,2016,5,48,32.3,35.0,28.0,33.7,28.0,23.2,42,450.0,479.0,402.0,466.0,402.0,336.1,7,13.0,15.0,38.0,4.7,38.0,18.3,1,221.8,233.3,498.0,129.7,498.0,310.2,22,1.0,1.3,2.0,0.7,2.0,1.2,44,1.8,2.3,2.0,1.7,2.0,1.8,28,9.7,14,82,28,40,--,8,76,60,44,-1.6,16,122,122
Arkansas,2016,5,49,32.0,35.7,24.0,31.5,32.5,33.7,66,414.5,453.7,491.0,382.0,447.0,456.3,54,26.5,28.7,45.0,11.5,41.5,27.3,50,389.8,422.7,591.0,198.0,581.5,381.0,56,1.5,1.3,3.0,1.5,1.5,0.9,58,1.5,1.7,2.0,1.0,2.0,1.3,43,4.0,29,80,31,123,-2.6,27,123,34,19,2.9,16,61,46
Tulsa,2016,5,49,32.0,32.0,48.0,45.0,25.5,37.2,47,439.0,439.0,617.0,512.0,402.5,507.4,81,33.0,33.0,41.0,10.0,44.5,39.8,46,385.7,385.7,453.0,287.0,435.0,537.3,118,2.7,2.7,2.0,0.0,4.0,1.5,28,2.0,2.0,2.0,3.0,1.5,1.8,55,2.1,10,90,33,88,--,3,98,90,73,-6.3,26,101,47
Oklahoma St,2016,5,49,32.0,32.0,24.0,36.0,24.0,40.2,24,490.0,490.0,492.0,489.0,492.0,471.8,90,34.3,34.3,35.0,34.0,35.0,32.3,101,489.3,489.3,523.0,472.5,523.0,457.3,107,2.3,2.3,4.0,1.5,4.0,1.2,48,1.7,1.7,2.0,1.5,2.0,2.3,32,6.4,13,64,30,43,--,2,62,61,24,1.9,16,78,50
Wisconsin,2016,5,52,30.8,35.7,30.0,38.5,23.0,26.8,70,410.5,434.3,317.0,493.0,328.0,378.6,4,11.8,11.0,6.0,13.5,10.0,13.7,8,277.0,283.7,325.0,263.0,291.0,268.5,80,1.8,1.3,2.0,1.0,2.5,1.4,27,2.3,2.0,4.0,1.0,3.5,1.6,12,16.0,4,25,24,8,12.0,5,40,7,25,1.8,1,44,41
Indiana,2016,5,53,30.7,30.7,28.0,29.0,34.0,35.6,12,516.7,516.7,611.0,532.0,486.0,496.8,36,22.0,22.0,33.0,26.5,13.0,36.8,29,351.3,351.3,352.0,361.5,331.0,497.0,87,2.0,2.0,5.0,2.5,1.0,1.2,28,2.0,2.0,0.0,1.5,3.0,1.7,73,-3.1,8,78,62,69,--,4,73,46,95,-10.2,49,105,105
W Virginia,2016,5,54,30.5,30.5,35.0,26.0,35.0,33.4,25,487.5,487.5,481.0,494.0,481.0,479.3,35,21.5,21.5,32.0,11.0,32.0,25.3,105,491.5,491.5,521.0,462.0,521.0,398.5,114,2.5,2.5,2.0,3.0,2.0,1.8,12,2.5,2.5,4.0,1.0,4.0,2.6,31,6.9,16,56,49,11,8.8,10,63,62,29,1.1,25,63,61
Minnesota,2016,5,54,30.5,30.5,31.0,30.5,--,22.5,96,348.5,348.5,417.0,348.5,--,358.9,44,23.5,23.5,24.0,23.5,--,25.2,26,343.0,343.0,369.0,343.0,--,345.9,22,1.0,1.0,1.0,1.0,--,1.7,28,2.0,2.0,2.0,2.0,--,1.4,76,-3.8,12,85,70,62,--,12,68,66,120,-14.5,49,122,106
Central FL,2016,5,56,30.3,30.3,53.0,24.0,33.5,13.8,53,429.0,429.0,501.0,455.0,416.0,268.2,76,31.7,31.7,14.0,30.0,32.5,39.6,22,336.3,336.3,189.0,373.0,318.0,482.4,87,2.0,2.0,0.0,4.0,1.0,2.6,122,0.3,0.3,1.0,0.0,0.5,1.1,58,1.4,27,104,82,51,--,32,127,92,68,-5.8,53,125,62
Arizona,2016,5,56,30.3,30.3,28.0,37.5,16.0,34.1,37,461.7,461.7,475.0,528.5,328.0,470.7,57,27.0,27.0,35.0,31.5,18.0,37.7,85,452.0,452.0,512.0,470.5,415.0,476.9,68,1.7,1.7,3.0,1.5,2.0,1.7,86,1.0,1.0,1.0,1.5,0.0,1.1,75,-3.1,31,125,83,13,3.8,9,55,11,53,-3.5,25,90,89
Kentucky,2016,5,58,30.3,28.7,17.0,38.0,7.0,23.8,72,408.8,397.3,351.0,495.3,149.0,370.9,97,35.3,32.3,10.0,32.0,45.0,27.5,98,471.5,444.0,268.0,440.7,564.0,397.3,121,3.0,3.0,2.0,2.7,4.0,1.7,58,1.5,1.0,0.0,1.7,1.0,1.7,93,-11.1,33,111,107,115,--,53,115,114,69,-6.0,24,90,79
New Mexico,2016,5,59,29.5,29.5,28.0,--,29.5,26.9,73,399.0,399.0,462.0,--,399.0,377.9,92,34.5,34.5,37.0,--,34.5,30.8,19,328.5,328.5,350.0,--,328.5,468.7,87,2.0,2.0,2.0,--,2.0,1.8,116,0.5,0.5,1.0,--,0.5,1.8,107,-14.4,63,124,98,104,--,16,118,100,127,-17.3,98,127,120
Temple,2016,5,60,29.3,29.3,48.0,30.5,27.0,29.8,89,360.7,360.7,507.0,379.0,324.0,367.1,58,27.3,27.3,20.0,24.0,34.0,20.1,52,392.0,392.0,429.0,386.5,403.0,336.5,41,1.3,1.3,0.0,1.5,1.0,1.4,67,1.3,1.3,1.0,0.5,3.0,1.6,78,-4.2,13,119,76,75,--,37,115,74,87,-8.7,51,96,51
W Kentucky,2016,5,61,29.3,23.7,30.0,38.0,20.5,44.3,44,447.0,379.7,496.0,572.5,321.5,526.9,56,26.8,31.0,31.0,22.5,31.0,25.9,53,394.0,429.3,389.0,338.5,449.5,405.3,87,2.0,2.7,3.0,1.5,2.5,1.2,84,1.3,1.0,1.0,1.5,1.0,2.2,59,1.1,2,91,53,71,--,6,77,77,47,-2.2,10,116,40
Penn State,2016,5,62,29.0,27.7,10.0,33.5,24.5,23.2,99,338.5,333.3,191.0,378.5,298.5,348.4,80,32.8,39.3,49.0,20.0,45.5,21.8,49,387.5,423.7,515.0,301.5,473.5,324.8,114,2.5,3.0,2.0,2.0,3.0,1.4,58,1.5,1.0,0.0,2.0,1.0,1.7,63,-0.6,3,67,51,76,--,6,76,45,26,1.6,11,70,49
