,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
36,37,Kentucky,--,0-0,0-0,0-0,31,65,38
37,38,Marshall,--,0-0,0-0,0-0,9,121,24
38,39,Air Force,--,0-0,0-0,0-0,30,125,47
39,40,Oklahoma St,--,0-0,0-0,0-0,20,84,36
40,41,Boise State,--,0-0,0-0,0-0,4,44,37
41,42,Toledo,--,0-0,0-0,0-0,26,126,44
42,43,Miss State,--,0-0,0-0,0-0,25,76,59
43,44,S Methodist,--,0-0,0-0,0-0,40,82,45
44,45,S Carolina,--,0-0,0-0,0-0,41,88,50
45,46,Florida,--,0-0,0-0,0-0,9,46,30
46,47,LA Tech,--,0-0,0-0,0-0,22,111,41
47,48,W Michigan,--,0-0,0-0,0-0,48,113,52
48,49,LSU,--,0-0,0-0,0-0,10,71,42
49,50,VA Tech,--,0-0,0-0,0-0,10,65,39
50,51,Boston Col,--,0-0,0-0,0-0,37,97,61
51,52,Nebraska,--,0-0,0-0,0-0,34,127,46
52,53,Texas,--,0-0,0-0,0-0,11,89,70
53,54,Wash State,--,0-0,0-0,0-0,27,86,74
54,55,TX-San Ant,--,0-0,0-0,0-0,19,125,43
55,56,California,--,0-0,0-0,0-0,22,73,48
56,57,Washington,--,0-0,0-0,0-0,25,94,57
57,58,Tulsa,--,0-0,0-0,0-0,28,121,55
58,59,Utah State,--,0-0,0-0,0-0,17,121,60
59,60,Virginia,--,0-0,0-0,0-0,45,79,79
60,61,Fresno St,--,0-0,0-0,0-0,2,116,31
61,62,Nevada,--,0-0,0-0,0-0,16,77,72
62,63,Maryland,--,0-0,0-0,0-0,37,87,51
63,64,Coastal Car,--,0-0,0-0,0-0,12,115,54
64,65,Army,--,0-0,0-0,0-0,12,115,19
65,66,Baylor,--,0-0,0-0,0-0,12,103,49
66,67,Missouri,--,0-0,0-0,0-0,31,78,67
67,68,Navy,--,0-0,0-0,0-0,22,97,76
68,69,TX Christian,--,0-0,0-0,0-0,21,84,64
69,70,Syracuse,--,0-0,0-0,0-0,15,106,53
70,71,Utah,--,0-0,0-0,0-0,3,118,68
71,72,W Kentucky,--,0-0,0-0,0-0,7,107,56
72,73,LA Lafayette,--,0-0,0-0,0-0,16,101,69
73,74,Vanderbilt,--,0-0,0-0,0-0,74,109,75
74,75,Indiana,--,0-0,0-0,0-0,21,107,77
75,76,NC State,--,0-0,0-0,0-0,5,88,78
76,77,Central FL,--,0-0,0-0,0-0,11,84,65
77,78,Bowling Grn,--,0-0,0-0,0-0,76,128,82
78,79,Miami (OH),--,0-0,0-0,0-0,71,112,81
79,80,UNLV,--,0-0,0-0,0-0,79,127,88
80,81,Illinois,--,0-0,0-0,0-0,3,106,83
81,82,Tulane,--,0-0,0-0,0-0,13,95,66
82,83,Florida St,--,0-0,0-0,0-0,41,94,84
83,84,Kent State,--,0-0,0-0,0-0,84,129,86
84,85,San Jose St,--,0-0,0-0,0-0,14,125,93
85,86,Georgia State,--,0-0,0-0,0-0,59,115,90
86,87,Buffalo,--,0-0,0-0,0-0,6,103,94
87,88,N Illinois,--,0-0,0-0,0-0,21,113,87
88,89,Fla Atlantic,--,0-0,0-0,0-0,72,105,92
89,90,S Alabama,--,0-0,0-0,0-0,58,115,99
90,91,Middle Tenn,--,0-0,0-0,0-0,21,113,91
91,92,Hawaii,--,0-0,0-0,0-0,78,129,96
92,93,Wyoming,--,0-0,0-0,0-0,28,98,98
93,94,Memphis,--,0-0,0-0,0-0,51,99,80
94,95,North Texas,--,0-0,0-0,0-0,69,116,100
95,96,Central Mich,--,0-0,0-0,0-0,68,104,85
96,97,Troy,--,0-0,0-0,0-0,38,102,102
97,98,Duke,--,0-0,0-0,0-0,91,124,95
98,99,E Michigan,--,0-0,0-0,0-0,75,130,97
99,100,Charlotte,--,0-0,0-0,0-0,67,117,105
100,101,TX El Paso,--,0-0,0-0,0-0,86,128,101
101,102,S Florida,--,0-0,0-0,0-0,85,128,103
102,103,N Mex State,--,0-0,0-0,0-0,96,130,111
103,104,Old Dominion,--,0-0,0-0,0-0,79,126,106
104,105,Rice,--,0-0,0-0,0-0,92,117,108
105,106,New Mexico,--,0-0,0-0,0-0,75,120,110
106,107,Temple,--,0-0,0-0,0-0,101,124,109
107,108,S Mississippi,--,0-0,0-0,0-0,87,121,114
108,109,Northwestern,--,0-0,0-0,0-0,52,126,89
109,110,Ball State,--,0-0,0-0,0-0,69,119,115
110,111,Florida Intl,--,0-0,0-0,0-0,15,119,104
111,112,Ohio,--,0-0,0-0,0-0,77,118,118
112,113,GA Southern,--,0-0,0-0,0-0,88,119,116
113,114,Kansas,--,0-0,0-0,0-0,89,122,107
114,115,Texas State,--,0-0,0-0,0-0,76,116,113
115,116,Arkansas St,--,0-0,0-0,0-0,68,123,112
116,117,Connecticut,--,0-0,0-0,0-0,100,130,120
117,118,Akron,--,0-0,0-0,0-0,91,126,119
118,119,U Mass,--,0-0,0-0,0-0,103,129,121
119,120,LA Monroe,--,0-0,0-0,0-0,92,127,117
120,121,Texas A&M,-0.7,0-1,1-0,0-0,6,121,13
121,122,Miami (FL),-1.2,0-1,0-0,0-0,7,125,123
122,123,Louisville,-2.3,0-1,0-0,0-0,46,128,122
123,124,Arizona,-4.0,0-0,0-0,0-0,92,127,124
124,125,E Carolina,-5.8,0-1,0-0,0-0,80,130,126
125,126,BYU,-6.1,0-0,0-0,0-0,53,128,125
126,127,Stanford,-11.5,0-1,0-0,0-0,63,129,128
127,128,Wisconsin,-14.7,0-1,0-0,0-0,8,129,127
128,129,Houston,-14.8,0-1,0-0,0-0,55,130,129
129,130,N Carolina,-21.2,0-1,0-0,0-0,6,130,130
