,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
69,70,Washington,--,0-0,0-0,0-0,25,94,61
70,71,Utah State,--,0-0,0-0,0-0,17,121,71
71,72,Georgia State,--,0-0,0-0,0-0,59,115,72
72,73,Miami (OH),--,0-0,0-0,0-0,71,112,77
73,74,S Carolina,--,0-0,0-0,0-0,41,88,70
74,75,Fla Atlantic,--,0-0,0-0,0-0,72,105,88
75,76,LA Tech,--,0-0,0-0,0-0,22,111,78
76,77,Indiana,--,0-0,0-0,0-0,21,107,74
77,78,N Illinois,--,0-0,0-0,0-0,21,113,79
78,79,UNLV,--,0-0,0-0,0-0,79,127,80
79,80,Ball State,--,0-0,0-0,0-0,69,119,76
80,81,Maryland,--,0-0,0-0,0-0,37,87,85
81,82,Buffalo,--,0-0,0-0,0-0,6,103,94
82,83,LA Lafayette,--,0-0,0-0,0-0,16,101,73
83,84,Central FL,--,0-0,0-0,0-0,11,84,82
84,85,E Michigan,--,0-0,0-0,0-0,75,130,95
85,86,Navy,--,0-0,0-0,0-0,22,97,83
86,87,Vanderbilt,--,0-0,0-0,0-0,74,109,81
87,88,Bowling Grn,--,0-0,0-0,0-0,76,128,84
88,89,Middle Tenn,--,0-0,0-0,0-0,21,113,96
89,90,Charlotte,--,0-0,0-0,0-0,67,117,90
90,91,Wyoming,--,0-0,0-0,0-0,28,98,87
91,92,TX El Paso,--,0-0,0-0,0-0,86,128,89
92,93,Memphis,--,0-0,0-0,0-0,51,99,91
93,94,Tulane,--,0-0,0-0,0-0,13,95,86
94,95,Hawaii,--,0-0,0-0,0-0,78,129,93
95,96,Central Mich,--,0-0,0-0,0-0,68,104,92
96,97,New Mexico,--,0-0,0-0,0-0,75,120,106
97,98,San Jose St,--,0-0,0-0,0-0,14,125,97
98,99,North Texas,--,0-0,0-0,0-0,69,116,98
99,100,Troy,--,0-0,0-0,0-0,38,102,99
100,101,Kent State,--,0-0,0-0,0-0,84,129,102
101,102,Old Dominion,--,0-0,0-0,0-0,79,126,101
102,103,S Florida,--,0-0,0-0,0-0,85,128,104
103,104,Northwestern,--,0-0,0-0,0-0,52,126,112
104,105,Ohio,--,0-0,0-0,0-0,77,118,103
105,106,Akron,--,0-0,0-0,0-0,91,126,105
106,107,Rice,--,0-0,0-0,0-0,92,117,116
107,108,N Mex State,--,0-0,0-0,0-0,96,130,107
108,109,S Alabama,--,0-0,0-0,0-0,58,115,100
109,110,Duke,--,0-0,0-0,0-0,91,124,109
110,111,S Mississippi,--,0-0,0-0,0-0,87,121,111
111,112,GA Southern,--,0-0,0-0,0-0,88,119,110
112,113,Texas State,--,0-0,0-0,0-0,76,116,115
113,114,Florida Intl,--,0-0,0-0,0-0,15,119,113
114,115,Temple,--,0-0,0-0,0-0,101,124,108
115,116,Kansas,--,0-0,0-0,0-0,89,122,114
116,117,Arkansas St,--,0-0,0-0,0-0,68,123,117
117,118,LA Monroe,--,0-0,0-0,0-0,92,127,120
118,119,Connecticut,--,0-0,0-0,0-0,100,130,118
119,120,U Mass,--,0-0,0-0,0-0,103,129,119
120,121,Texas A&M,-0.7,0-1,1-0,0-0,6,121,121
121,122,Miami (FL),-0.9,0-1,0-0,0-0,7,125,122
122,123,Louisville,-2.9,0-1,0-0,0-0,46,128,123
123,124,Arizona,-5.1,0-0,0-0,0-0,92,127,124
124,125,BYU,-7.2,0-0,0-0,0-0,53,128,125
125,126,E Carolina,-8.8,0-0,0-1,0-0,80,130,126
126,127,Stanford,-12.6,0-1,0-0,0-0,63,129,127
127,128,Wisconsin,-13.5,0-1,0-0,0-0,8,129,128
128,129,Houston,-16.8,0-1,0-0,0-0,55,130,129
129,130,N Carolina,-22.1,0-1,0-0,0-0,6,130,130
