,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
33,34,Marshall,--,0-0,0-0,0-0,9,121,32
34,35,UCLA,--,0-0,0-0,0-0,1,62,31
35,36,Tennessee,--,0-0,0-0,0-0,23,116,38
36,37,Auburn,--,0-0,0-0,0-0,20,48,35
37,38,Utah,--,0-0,0-0,0-0,3,118,36
38,39,Boise State,--,0-0,0-0,0-0,4,44,28
39,40,Fresno St,--,0-0,0-0,0-0,2,116,51
40,41,Nevada,--,0-0,0-0,0-0,16,77,54
41,42,Oregon,--,0-0,0-0,0-0,11,128,40
42,43,Michigan St,--,0-0,0-0,0-0,4,65,39
43,44,Baylor,--,0-0,0-0,0-0,12,103,41
44,45,Tulsa,--,0-0,0-0,0-0,28,121,43
45,46,Florida St,--,0-0,0-0,0-0,41,94,45
46,47,Rutgers,--,0-0,0-0,0-0,27,92,42
47,48,W Kentucky,--,0-0,0-0,0-0,7,107,62
48,49,Arizona St,--,0-0,0-0,0-0,27,117,44
49,50,Nebraska,--,0-0,0-0,0-0,34,127,49
50,51,Toledo,--,0-0,0-0,0-0,26,126,47
51,52,Illinois,--,0-0,0-0,0-0,3,106,50
52,53,LSU,--,0-0,0-0,0-0,10,71,52
53,54,Utah State,--,0-0,0-0,0-0,17,121,53
54,55,Coastal Car,--,0-0,0-0,0-0,12,115,46
55,56,TX-San Ant,--,0-0,0-0,0-0,19,125,37
56,57,Oregon St,--,0-0,0-0,0-0,29,125,59
57,58,San Diego St,--,0-0,0-0,0-0,17,89,57
58,59,Virginia,--,0-0,0-0,0-0,45,79,56
59,60,Liberty,--,0-0,0-0,0-0,8,67,58
60,61,VA Tech,--,0-0,0-0,0-0,10,65,64
61,62,Washington,--,0-0,0-0,0-0,25,94,63
62,63,LA Lafayette,--,0-0,0-0,0-0,16,101,61
63,64,Maryland,--,0-0,0-0,0-0,37,87,82
64,65,W Michigan,--,0-0,0-0,0-0,48,113,70
65,66,California,--,0-0,0-0,0-0,22,73,55
66,67,W Virginia,--,0-0,0-0,0-0,23,69,60
67,68,Georgia State,--,0-0,0-0,0-0,59,115,66
68,69,Colorado St,--,0-0,0-0,0-0,22,120,67
69,70,Boston Col,--,0-0,0-0,0-0,37,97,65
70,71,S Methodist,--,0-0,0-0,0-0,40,82,68
71,72,Missouri,--,0-0,0-0,0-0,31,78,69
72,73,S Carolina,--,0-0,0-0,0-0,41,88,71
73,74,Navy,--,0-0,0-0,0-0,22,97,79
74,75,Syracuse,--,0-0,0-0,0-0,15,106,72
75,76,Central Mich,--,0-0,0-0,0-0,68,104,77
76,77,Wyoming,--,0-0,0-0,0-0,28,98,76
77,78,Central FL,--,0-0,0-0,0-0,11,84,74
78,79,North Texas,--,0-0,0-0,0-0,69,116,80
79,80,Indiana,--,0-0,0-0,0-0,21,107,73
80,81,Miami (OH),--,0-0,0-0,0-0,71,112,81
81,82,N Illinois,--,0-0,0-0,0-0,21,113,84
82,83,TX Christian,--,0-0,0-0,0-0,21,84,78
83,84,E Michigan,--,0-0,0-0,0-0,75,130,75
84,85,Vanderbilt,--,0-0,0-0,0-0,74,109,85
85,86,LA Tech,--,0-0,0-0,0-0,22,111,83
86,87,Ball State,--,0-0,0-0,0-0,69,119,86
87,88,Tulane,--,0-0,0-0,0-0,13,95,88
88,89,Bowling Grn,--,0-0,0-0,0-0,76,128,87
89,90,Old Dominion,--,0-0,0-0,0-0,79,126,89
90,91,TX El Paso,--,0-0,0-0,0-0,86,128,90
91,92,Middle Tenn,--,0-0,0-0,0-0,21,113,97
92,93,Hawaii,--,0-0,0-0,0-0,78,129,104
93,94,Memphis,--,0-0,0-0,0-0,51,99,94
94,95,San Jose St,--,0-0,0-0,0-0,14,125,95
95,96,Buffalo,--,0-0,0-0,0-0,6,103,92
96,97,Kent State,--,0-0,0-0,0-0,84,129,96
97,98,Fla Atlantic,--,0-0,0-0,0-0,72,105,98
98,99,UNLV,--,0-0,0-0,0-0,79,127,91
99,100,Troy,--,0-0,0-0,0-0,38,102,93
100,101,S Florida,--,0-0,0-0,0-0,85,128,105
101,102,New Mexico,--,0-0,0-0,0-0,75,120,101
102,103,Ohio,--,0-0,0-0,0-0,77,118,99
103,104,S Mississippi,--,0-0,0-0,0-0,87,121,103
104,105,Kansas,--,0-0,0-0,0-0,89,122,106
105,106,Charlotte,--,0-0,0-0,0-0,67,117,102
106,107,Akron,--,0-0,0-0,0-0,91,126,100
107,108,LA Monroe,--,0-0,0-0,0-0,92,127,110
108,109,S Alabama,--,0-0,0-0,0-0,58,115,107
109,110,GA Southern,--,0-0,0-0,0-0,88,119,109
110,111,Rice,--,0-0,0-0,0-0,92,117,108
111,112,N Mex State,--,0-0,0-0,0-0,96,130,111
112,113,Texas State,--,0-0,0-0,0-0,76,116,113
113,114,Arkansas St,--,0-0,0-0,0-0,68,123,112
114,115,Duke,--,0-0,0-0,0-0,91,124,114
115,116,Connecticut,--,0-0,0-0,0-0,100,130,115
116,117,Temple,--,0-0,0-0,0-0,101,124,116
117,118,Florida Intl,--,0-0,0-0,0-0,15,119,117
118,119,U Mass,--,0-0,0-0,0-0,103,129,118
119,120,Arizona,-1.8,0-0,0-0,0-0,92,127,120
120,121,Air Force,-3.1,0-0,0-1,0-0,30,125,123
121,122,BYU,-3.7,0-0,0-0,0-0,53,128,121
122,123,Miami (FL),-4.7,0-1,0-0,0-0,7,125,122
123,124,Louisville,-4.8,0-1,0-0,0-0,46,128,125
124,125,E Carolina,-5.4,0-1,0-0,0-0,80,130,124
125,126,Northwestern,-6.7,0-0,0-1,0-0,52,126,126
126,127,Wisconsin,-8.4,0-1,0-0,0-0,8,129,127
127,128,Stanford,-10.6,0-0,0-1,0-0,63,129,128
128,129,Houston,-17.6,0-1,0-0,0-0,55,130,129
129,130,N Carolina,-27.6,0-1,0-0,0-0,6,130,130
