,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
73,74,Indiana,--,0-0,0-0,0-0,21,107,75
74,75,NC State,--,0-0,0-0,0-0,5,88,76
75,76,Georgia State,--,0-0,0-0,0-0,59,115,86
76,77,Bowling Grn,--,0-0,0-0,0-0,76,128,78
77,78,Miami (OH),--,0-0,0-0,0-0,71,112,79
78,79,Central FL,--,0-0,0-0,0-0,11,84,77
79,80,N Illinois,--,0-0,0-0,0-0,21,113,88
80,81,Ball State,--,0-0,0-0,0-0,69,119,110
81,82,UNLV,--,0-0,0-0,0-0,79,127,80
82,83,Illinois,--,0-0,0-0,0-0,3,106,81
83,84,Tulane,--,0-0,0-0,0-0,13,95,82
84,85,Maryland,--,0-0,0-0,0-0,37,87,63
85,86,TX El Paso,--,0-0,0-0,0-0,86,128,101
86,87,Wyoming,--,0-0,0-0,0-0,28,98,93
87,88,Kent State,--,0-0,0-0,0-0,84,129,84
88,89,Buffalo,--,0-0,0-0,0-0,6,103,87
89,90,Fla Atlantic,--,0-0,0-0,0-0,72,105,89
90,91,Vanderbilt,--,0-0,0-0,0-0,74,109,74
91,92,Charlotte,--,0-0,0-0,0-0,67,117,100
92,93,Memphis,--,0-0,0-0,0-0,51,99,94
93,94,North Texas,--,0-0,0-0,0-0,69,116,95
94,95,E Michigan,--,0-0,0-0,0-0,75,130,99
95,96,Middle Tenn,--,0-0,0-0,0-0,21,113,91
96,97,Central Mich,--,0-0,0-0,0-0,68,104,96
97,98,Hawaii,--,0-0,0-0,0-0,78,129,92
98,99,Old Dominion,--,0-0,0-0,0-0,79,126,104
99,100,Duke,--,0-0,0-0,0-0,91,124,98
100,101,San Jose St,--,0-0,0-0,0-0,14,125,85
101,102,Troy,--,0-0,0-0,0-0,38,102,97
102,103,S Alabama,--,0-0,0-0,0-0,58,115,90
103,104,S Florida,--,0-0,0-0,0-0,85,128,102
104,105,GA Southern,--,0-0,0-0,0-0,88,119,113
105,106,Akron,--,0-0,0-0,0-0,91,126,118
106,107,N Mex State,--,0-0,0-0,0-0,96,130,103
107,108,New Mexico,--,0-0,0-0,0-0,75,120,106
108,109,Rice,--,0-0,0-0,0-0,92,117,105
109,110,Northwestern,--,0-0,0-0,0-0,52,126,109
110,111,Temple,--,0-0,0-0,0-0,101,124,107
111,112,Ohio,--,0-0,0-0,0-0,77,118,112
112,113,S Mississippi,--,0-0,0-0,0-0,87,121,108
113,114,Kansas,--,0-0,0-0,0-0,89,122,114
114,115,Florida Intl,--,0-0,0-0,0-0,15,119,111
115,116,Texas State,--,0-0,0-0,0-0,76,116,115
116,117,Arkansas St,--,0-0,0-0,0-0,68,123,116
117,118,Connecticut,--,0-0,0-0,0-0,100,130,117
118,119,U Mass,--,0-0,0-0,0-0,103,129,119
119,120,LA Monroe,--,0-0,0-0,0-0,92,127,120
120,121,Texas A&M,-0.2,0-1,1-0,0-0,6,121,121
121,122,Louisville,-3.6,0-1,0-0,0-0,46,128,123
122,123,Miami (FL),-3.8,0-1,0-0,0-0,7,125,122
123,124,Arizona,-4.4,0-0,0-0,0-0,92,127,124
124,125,E Carolina,-5.7,0-0,0-1,0-0,80,130,125
125,126,BYU,-5.9,0-0,0-0,0-0,53,128,126
126,127,Stanford,-11.7,0-1,0-0,0-0,63,129,127
127,128,Wisconsin,-14.5,0-1,0-0,0-0,8,129,128
128,129,Houston,-17.2,0-1,0-0,0-0,55,130,129
129,130,N Carolina,-21.8,0-1,0-0,0-0,6,130,130
