,Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Low,Last
63,64,TX Christian,--,0-0,0-0,0-0,21,84,64
64,65,Central FL,--,0-0,0-0,0-0,11,84,71
65,66,Tulane,--,0-0,0-0,0-0,13,95,55
66,67,Missouri,--,0-0,0-0,0-0,31,78,78
67,68,Utah,--,0-0,0-0,0-0,3,118,74
68,69,LA Lafayette,--,0-0,0-0,0-0,16,101,75
69,70,Texas,--,0-0,0-0,0-0,11,89,81
70,71,Tennessee,--,0-0,0-0,0-0,23,116,63
71,72,Nevada,--,0-0,0-0,0-0,16,77,77
72,73,Arizona St,--,0-0,0-0,0-0,27,117,76
73,74,Wash State,--,0-0,0-0,0-0,27,86,66
74,75,Vanderbilt,--,0-0,0-0,0-0,74,109,87
75,76,Navy,--,0-0,0-0,0-0,22,97,67
76,77,Indiana,--,0-0,0-0,0-0,21,107,84
77,78,NC State,--,0-0,0-0,0-0,5,88,83
78,79,Virginia,--,0-0,0-0,0-0,45,79,69
79,80,Memphis,--,0-0,0-0,0-0,51,99,86
80,81,Miami (OH),--,0-0,0-0,0-0,71,112,80
81,82,Bowling Grn,--,0-0,0-0,0-0,76,128,114
82,83,Illinois,--,0-0,0-0,0-0,3,106,101
83,84,Florida St,--,0-0,0-0,0-0,41,94,94
84,85,Central Mich,--,0-0,0-0,0-0,68,104,89
85,86,Kent State,--,0-0,0-0,0-0,84,129,85
86,87,N Illinois,--,0-0,0-0,0-0,21,113,95
87,88,UNLV,--,0-0,0-0,0-0,79,127,106
88,89,Northwestern,--,0-0,0-0,0-0,52,126,93
89,90,Georgia State,--,0-0,0-0,0-0,59,115,110
90,91,Middle Tenn,--,0-0,0-0,0-0,21,113,90
91,92,Fla Atlantic,--,0-0,0-0,0-0,72,105,72
92,93,San Jose St,--,0-0,0-0,0-0,14,125,88
93,94,Buffalo,--,0-0,0-0,0-0,6,103,96
94,95,Duke,--,0-0,0-0,0-0,91,124,97
95,96,Hawaii,--,0-0,0-0,0-0,78,129,100
96,97,E Michigan,--,0-0,0-0,0-0,75,130,92
97,98,Wyoming,--,0-0,0-0,0-0,28,98,79
98,99,S Alabama,--,0-0,0-0,0-0,58,115,103
99,100,North Texas,--,0-0,0-0,0-0,69,116,102
100,101,TX El Paso,--,0-0,0-0,0-0,86,128,99
101,102,Troy,--,0-0,0-0,0-0,38,102,56
102,103,S Florida,--,0-0,0-0,0-0,85,128,120
103,104,Florida Intl,--,0-0,0-0,0-0,15,119,115
104,105,Charlotte,--,0-0,0-0,0-0,67,117,108
105,106,Old Dominion,--,0-0,0-0,0-0,79,126,105
106,107,Kansas,--,0-0,0-0,0-0,89,122,104
107,108,Rice,--,0-0,0-0,0-0,92,117,112
108,109,Temple,--,0-0,0-0,0-0,101,124,111
109,110,New Mexico,--,0-0,0-0,0-0,75,120,98
110,111,N Mex State,--,0-0,0-0,0-0,96,130,109
111,112,Arkansas St,--,0-0,0-0,0-0,68,123,123
112,113,Texas State,--,0-0,0-0,0-0,76,116,91
113,114,S Mississippi,--,0-0,0-0,0-0,87,121,121
114,115,Ball State,--,0-0,0-0,0-0,69,119,107
115,116,GA Southern,--,0-0,0-0,0-0,88,119,113
116,117,LA Monroe,--,0-0,0-0,0-0,92,127,119
117,118,Ohio,--,0-0,0-0,0-0,77,118,116
118,119,Akron,--,0-0,0-0,0-0,91,126,117
119,120,Connecticut,--,0-0,0-0,0-0,100,130,118
120,121,U Mass,--,0-0,0-0,0-0,103,129,122
121,122,Louisville,-0.5,0-1,0-0,0-0,46,128,124
122,123,Miami (FL),-1.7,0-1,0-0,0-0,7,125,125
123,124,Arizona,-4.6,0-0,0-0,0-0,92,127,126
124,125,BYU,-6.0,0-0,0-0,0-0,53,128,128
125,126,E Carolina,-7.7,0-0,0-1,0-0,80,130,127
126,127,Wisconsin,-13.1,0-1,0-0,0-0,8,129,61
127,128,Stanford,-13.2,0-1,0-0,0-0,63,129,129
128,129,Houston,-17.1,0-1,0-0,0-0,55,130,130
129,130,N Carolina,-17.9,0-1,0-0,0-0,6,130,42
